serviceName,category,price,Assigned User
Replace Buttons (per button) ,Outwear Alterations,$7.00,
Replace Button (Per Button) ,Shirt Alterations,$7.00,
Open Buttonhole ,SuitJacket Alterations,$7.00,
Replace Jacket Buttons ( per button) ,SuitJacket Alterations,$7.00,
Remove Pleats ,Pant Alterations,$15.00,
Repair Jacket Pocket ,SuitJacket Alterations,$17.00,
Long Sleeve into Short Sleeve ,Shirt Alterations,$18.00,
Shorten Sleeve ,Shirt Alterations,$18.00,
Repair Hole ,Outwear Alterations,$20.00,
Replace Zipper Pull ,Outwear Alterations,$20.00,
Hem Shorts ,Shorts Alterations,$20.00,
Taper Leg ,Shorts Alterations,$20.00,
Taper Sleeve ,Shirt Alterations,$22.00,
Pants Into Shorts ,Pant Alterations,$25.00,
Hem Lined or Cuffed Pants ,Pant Alterations,$26.00,
Shorten Shirt Length ,Shirt Alterations,$27.00,
Take in Sides ,Shirt Alterations,$27.00,
Take In Waistband ,Pant Alterations,$28.00,
Let Out Waistband ,Pant Alterations,$28.00,
Take in Waistband ,Shorts Alterations,$28.00,
Let Out Waistband ,Shorts Alterations,$28.00,
Replace Pants Zipper ,Pant Alterations,$30.00,
Replace Zipper ,Shorts Alterations,$30.00,
Taper Full Leg ,Pant Alterations,$35.00,
Shorten Sleeve with Cuff ,Shirt Alterations,$35.00,
Hem Jeans and Keep Original Jean Hem ,Pant Alterations,$39.00,
Taper Jacket Sleeves ,SuitJacket Alterations,$40.00,
Replace Jacket Pocket,SuitJacket Alterations,$44.00,
Take in Jacket Sides ,SuitJacket Alterations,$44.00,
Take in Shoulders ,Shirt Alterations,$56.00,
Shorten Jacket Sleeves ,SuitJacket Alterations,$59.00,
Replace Zipper,Outwear Alterations,$60.00,
Shorten Sleeve with Cuff and Move Placket ,Shirt Alterations,$60.00,
Hem Jacket ,SuitJacket Alterations,$85.00,
Shorten Jacket Sleeves from Shoulder ,SuitJacket Alterations,$90.00,
Replace Lining ,Outwear Alterations,$360.00,
